Num Hilos;Ticks;Resultado
1;2.858.204;6.057,30
2;1.971.204;6.057,30
3;2.981.952;6.057,30
4;2.348.686;6.057,30
5;2.758.615;6.057,30
6;1.934.274;6.057,30
7;1.834.810;6.057,30
8;1.504.975;6.057,30
9;1.746.047;6.057,30
10;1.467.779;6.057,30
11;1.841.001;6.057,30
12;2.182.386;6.057,30
13;2.301.578;6.057,30
14;1.890.615;6.057,30
15;2.097.459;6.057,30
16;1.847.330;6.057,30
17;2.522.879;6.057,30
18;2.060.043;6.057,30
19;2.391.691;6.057,30
20;1.836.230;6.057,30
21;2.261.899;6.057,30
22;2.812.808;6.057,30
23;2.066.486;6.057,30
24;2.028.608;6.057,30
25;2.675.810;6.057,30
26;2.067.664;6.057,30
27;2.247.071;6.057,30
28;2.894.151;6.057,30
29;1.825.713;6.057,30
30;2.234.291;6.057,30
31;2.551.743;6.057,30
32;1.963.864;6.057,30
33;2.145.745;6.057,30
34;2.363.736;6.057,30
35;1.744.348;6.057,30
